Protonated, Deprotonated
SM23_micro024,SM23_micro012
SM23_micro025,SM23_micro012
SM23_micro030,SM23_micro012
SM23_micro012,SM23_micro034
SM23_micro012,SM23_micro035
SM23_micro020,SM23_micro035
SM23_micro020,SM23_micro036
SM23_micro039,SM23_micro021
SM23_micro041,SM23_micro021
SM23_micro043,SM23_micro021
SM23_micro025,SM23_micro022
SM23_micro022,SM23_micro028
SM23_micro022,SM23_micro035
SM23_micro040,SM23_micro024
SM23_micro042,SM23_micro024
SM23_micro043,SM23_micro024
SM23_micro038,SM23_micro025
SM23_micro041,SM23_micro025
SM23_micro042,SM23_micro025
SM23_micro046,SM23_micro038
SM23_micro044,SM23_micro039
SM23_micro045,SM23_micro039
SM23_micro045,SM23_micro040
SM23_micro046,SM23_micro040
SM23_micro044,SM23_micro041
SM23_micro047,SM23_micro041
SM23_micro046,SM23_micro042
SM23_micro047,SM23_micro042
SM23_micro047,SM23_micro043
SM23_micro048,SM23_micro044
SM23_micro048,SM23_micro045
SM23_micro048,SM23_micro046
SM23_micro048,SM23_micro047
SM24_micro001,SM24_micro007
SM24_micro020,SM24_micro001
SM24_micro001,SM24_micro028
SM24_micro006,SM24_micro002
SM24_micro007,SM24_micro002
SM24_micro024,SM24_micro002
SM24_micro028,SM24_micro002
SM24_micro004,SM24_micro006
SM24_micro022,SM24_micro004
SM24_micro004,SM24_micro024
SM24_micro025,SM24_micro004
SM24_micro005,SM24_micro024
SM24_micro025,SM24_micro005
SM24_micro005,SM24_micro028
SM24_micro010,SM24_micro006
SM24_micro011,SM24_micro006
SM24_micro017,SM24_micro006
SM24_micro006,SM24_micro027
SM24_micro011,SM24_micro007
SM24_micro014,SM24_micro007
SM24_micro017,SM24_micro009
SM24_micro009,SM24_micro027
SM24_micro029,SM24_micro009
SM24_micro030,SM24_micro009
SM24_micro020,SM24_micro010
SM24_micro010,SM24_micro023
SM24_micro025,SM24_micro010
SM24_micro010,SM24_micro028
SM24_micro032,SM24_micro010
SM24_micro011,SM24_micro013
SM24_micro020,SM24_micro011
SM24_micro022,SM24_micro011
SM24_micro033,SM24_micro011
SM24_micro013,SM24_micro027
SM24_micro030,SM24_micro013
SM24_micro031,SM24_micro013
SM24_micro022,SM24_micro014
SM24_micro014,SM24_micro024
SM24_micro032,SM24_micro017
SM24_micro033,SM24_micro017
SM24_micro020,SM24_micro031
SM24_micro035,SM24_micro020
SM24_micro023,SM24_micro027
SM24_micro029,SM24_micro023
SM24_micro031,SM24_micro023
SM24_micro032,SM24_micro029
SM24_micro034,SM24_micro029
SM24_micro033,SM24_micro030
SM24_micro034,SM24_micro030
SM24_micro034,SM24_micro031
SM24_micro035,SM24_micro032
SM24_micro035,SM24_micro033
SM24_micro035,SM24_micro034
